week,home_team,away_team,home_goals,away_goals,result
1,Real Sociedad,Espanyol,2,1,H
1,Alaves,Athletic Bilbao,0,0,D
1,Osasuna,Mallorca,2,1,H
1,Granada,Barcelona,3,2,H
1,Levante,Sevilla,0,1,A
1,Valencia,Almeria,2,1,H
1,Atletico Madrid,Real Madrid,1,2,A
1,Betis,Celta Vigo,5,1,H
1,Villarreal,Valladolid,3,0,H
1,Getafe,Leganes,0,0,D

2,Espanyol,Levante,0,0,D
2,Valladolid,Valencia,2,1,H
2,Athletic Bilbao,Real Sociedad,0,1,A
2,Barcelona,Osasuna,2,0,H
2,Alaves,Villarreal,0,1,A
2,Real Madrid,Getafe,1,1,D
2,Almeria,Atletico Madrid,0,1,A
2,Sevilla,Betis,3,0,H
2,Leganes,Mallorca,2,1,H
2,Celta Vigo,Granada,2,0,H

3,Mallorca,Real Madrid,1,1,D
3,Levante,Real Sociedad,1,1,D
3,Betis,Espanyol,0,2,A
3,Valencia,Alaves,2,0,H
3,Getafe,Almeria,0,1,A
3,Leganes,Barcelona,0,1,A
3,Atletico Madrid,Valladolid,2,1,H
3,Granada,Sevilla,1,2,A
3,Villarreal,Athletic Bilbao,1,1,D
3,Osasuna,Celta Vigo,1,2,A

4,Villarreal,Valencia,3,1,H
4,Real Madrid,Barcelona,1,1,D
4,Real Sociedad,Betis,1,4,A
4,Almeria,Mallorca,0,3,A
4,Valladolid,Getafe,2,2,D
4,Espanyol,Granada,3,1,H
4,Sevilla,Osasuna,2,0,H
4,Alaves,Atletico Madrid,1,0,H
4,Athletic Bilbao,Levante,0,0,D
4,Celta Vigo,Leganes,2,0,H

5,Osasuna,Espanyol,2,1,H
5,Barcelona,Almeria,1,0,H
5,Real Madrid,Celta Vigo,0,1,A
5,Atletico Madrid,Villarreal,4,2,H
5,Valencia,Athletic Bilbao,2,0,H
5,Leganes,Sevilla,0,1,A
5,Betis,Levante,1,2,A
5,Mallorca,Valladolid,0,0,D
5,Getafe,Alaves,1,0,H
5,Granada,Real Sociedad,2,0,H

6,Villarreal,Getafe,2,0,H
6,Sevilla,Real Madrid,1,1,D
6,Valladolid,Barcelona,1,4,A
6,Valencia,Atletico Madrid,0,1,A
6,Espanyol,Leganes,1,2,A
6,Athletic Bilbao,Betis,1,0,H
6,Alaves,Mallorca,0,1,A
6,Levante,Granada,3,0,H
6,Almeria,Celta Vigo,1,1,D
6,Real Sociedad,Osasuna,1,1,D

7,Getafe,Valencia,0,0,D
7,Barcelona,Alaves,0,0,D
7,Real Madrid,Espanyol,2,0,H
7,Osasuna,Levante,3,1,H
7,Mallorca,Villarreal,2,1,H
7,Celta Vigo,Valladolid,0,2,A
7,Leganes,Real Sociedad,1,2,A
7,Granada,Betis,4,1,H
7,Atletico Madrid,Athletic Bilbao,2,2,D
7,Almeria,Sevilla,3,1,H

8,Alaves,Celta Vigo,3,1,H
8,Valencia,Mallorca,5,1,H
8,Atletico Madrid,Getafe,0,0,D
8,Athletic Bilbao,Granada,3,2,H
8,Villarreal,Barcelona,2,1,H
8,Valladolid,Sevilla,3,1,H
8,Espanyol,Almeria,0,3,A
8,Levante,Leganes,2,1,H
8,Real Sociedad,Real Madrid,2,0,H
8,Betis,Osasuna,3,1,H

9,Leganes,Betis,3,0,H
9,Getafe,Athletic Bilbao,0,2,A
9,Valladolid,Espanyol,3,1,H
9,Osasuna,Granada,3,2,H
9,Barcelona,Valencia,1,0,H
9,Real Madrid,Levante,3,2,H
9,Almeria,Real Sociedad,1,1,D
9,Celta Vigo,Villarreal,0,1,A
9,Mallorca,Atletico Madrid,0,1,A
9,Sevilla,Alaves,0,1,A

10,Alaves,Espanyol,1,1,D
10,Athletic Bilbao,Osasuna,0,1,A
10,Villarreal,Sevilla,2,2,D
10,Atletico Madrid,Barcelona,3,0,H
10,Betis,Real Madrid,0,0,D
10,Granada,Leganes,0,0,D
10,Getafe,Mallorca,2,1,H
10,Real Sociedad,Valladolid,1,1,D
10,Valencia,Celta Vigo,2,4,A
10,Levante,Almeria,0,1,A

11,Almeria,Betis,2,4,A
11,Barcelona,Getafe,3,1,H
11,Sevilla,Valencia,1,4,A
11,Espanyol,Villarreal,1,0,H
11,Valladolid,Levante,0,1,A
11,Leganes,Osasuna,0,2,A
11,Real Madrid,Granada,0,1,A
11,Alaves,Real Sociedad,1,0,H
11,Celta Vigo,Atletico Madrid,0,4,A
11,Mallorca,Athletic Bilbao,1,0,H

12,Valencia,Espanyol,0,1,A
12,Osasuna,Real Madrid,1,0,H
12,Athletic Bilbao,Leganes,2,1,H
12,Villarreal,Real Sociedad,2,0,H
12,Betis,Valladolid,0,0,D
12,Getafe,Celta Vigo,0,0,D
12,Levante,Alaves,0,0,D
12,Granada,Almeria,2,1,H
12,Mallorca,Barcelona,1,1,D
12,Atletico Madrid,Sevilla,0,1,A

13,Valladolid,Granada,0,1,A
13,Alaves,Betis,3,1,H
13,Almeria,Osasuna,2,1,H
13,Real Madrid,Leganes,0,3,A
13,Real Sociedad,Valencia,1,3,A
13,Sevilla,Getafe,0,1,A
13,Barcelona,Athletic Bilbao,2,1,H
13,Espanyol,Atletico Madrid,3,1,H
