Alaves | Almeria | 2.22 | 3.18 | 3.34
Alaves | Athletic Bilbao | 2.38 | 3.17 | 3.04
Alaves | Athletic Bilbao | 2.39 | 3.16 | 3.04
Alaves | Atletico Madrid | 3.12 | 3.69 | 2.12
Alaves | Atletico Madrid | 3.12 | 3.70 | 2.12
Alaves | Barcelona | 3.68 | 4.02 | 1.84
Alaves | Barcelona | 3.68 | 4.01 | 1.84
Alaves | Betis | 2.32 | 3.11 | 3.22
Alaves | Betis | 2.32 | 3.11 | 3.21
Alaves | Celta Vigo | 2.05 | 3.30 | 3.65
Alaves | Celta Vigo | 2.06 | 3.27 | 3.66
Alaves | Espanyol | 2.38 | 3.17 | 3.04
Alaves | Getafe | 2.53 | 3.29 | 2.74
Alaves | Granada | 1.87 | 3.48 | 4.15
Alaves | Granada | 1.87 | 3.47 | 4.16
Alaves | Leganes | 2.16 | 3.22 | 3.44
Alaves | Leganes | 2.17 | 3.21 | 3.44
Alaves | Leganes | 2.16 | 3.21 | 3.44
Alaves | Levante | 2.14 | 3.23 | 3.50
Alaves | Levante | 2.14 | 3.22 | 3.50
Alaves | Mallorca | 2.06 | 3.27 | 3.66
Alaves | Mallorca | 2.05 | 3.30 | 3.65
Alaves | Mallorca | 2.06 | 3.30 | 3.65
Alaves | Osasuna | 1.95 | 3.40 | 3.88
Alaves | Osasuna | 1.96 | 3.38 | 3.89
Alaves | Real Madrid | 2.81 | 3.50 | 2.37
Alaves | Real Madrid | 2.82 | 3.46 | 2.38
Alaves | Real Sociedad | 2.32 | 3.11 | 3.21
Alaves | Real Sociedad | 2.32 | 3.12 | 3.21
Alaves | Sevilla | 2.53 | 3.29 | 2.74
Alaves | Sevilla | 2.53 | 3.31 | 2.73
Alaves | Sevilla | 2.53 | 3.30 | 2.74
Alaves | Valencia | 2.59 | 3.32 | 2.65
Alaves | Valencia | 2.59 | 3.33 | 2.65
Alaves | Valladolid | 1.85 | 3.47 | 4.24
Alaves | Valladolid | 1.85 | 3.48 | 4.23
Alaves | Villarreal | 2.13 | 3.24 | 3.49
Almeria | Alaves | 2.38 | 3.17 | 3.04
Almeria | Athletic Bilbao | 2.45 | 3.23 | 2.88
Almeria | Atletico Madrid | 3.26 | 3.77 | 2.03
Almeria | Barcelona | 3.87 | 4.10 | 1.78
Almeria | Barcelona | 3.87 | 4.09 | 1.78
Almeria | Betis | 2.38 | 3.17 | 3.04
Almeria | Betis | 2.38 | 3.18 | 3.04
Almeria | Celta Vigo | 2.14 | 3.24 | 3.49
Almeria | Celta Vigo | 2.14 | 3.23 | 3.50
Almeria | Espanyol | 2.11 | 2.45 | 3.24
Almeria | Espanyol | 2.46 | 3.22 | 2.89
Almeria | Espanyol | 2.45 | 3.23 | 2.88
Almeria | Getafe | 2.62 | 3.36 | 2.61
Almeria | Getafe | 2.62 | 3.35 | 2.61
Almeria | Granada | 1.94 | 3.38 | 3.96
Almeria | Granada | 1.94 | 3.40 | 3.95
Almeria | Granada | 1.93 | 3.41 | 3.95
Almeria | Leganes | 2.25 | 3.18 | 3.29
Almeria | Leganes | 2.26 | 3.12 | 3.31
Almeria | Leganes | 2.25 | 3.16 | 3.30
Almeria | Levante | 2.22 | 3.18 | 3.34
Almeria | Levante | 2.22 | 3.17 | 3.35
Almeria | Levante | 2.23 | 3.16 | 3.35
Almeria | Mallorca | 2.14 | 3.21 | 3.50
