Team,HomeStrength,AwayStrength,BaseStrength,HomeEdge,AwayEdge
Barcelona,1.000128291410484,0.6219756974181498,0.811051994414317,0.18907629699616713,-0.18907629699616713
Atletico Madrid,0.7046468845224487,0.4711803361209557,0.5879136103217022,0.11673327420074653,-0.11673327420074647
Real Madrid,0.5218976726398317,0.2906603498673046,0.40627901125356813,0.11561866138626353,-0.11561866138626353
Valencia,0.4024655518149354,0.09172100690377769,0.24709327935935654,0.15537227245557883,-0.15537227245557886
Getafe,0.35336376240717204,0.020666826308175734,0.1870152943576739,0.16634846804949815,-0.16634846804949815
Sevilla,0.273434802040426,0.00854969505008169,0.14099224854525383,0.13244255349517214,-0.13244255349517214
Espanyol,0.2454527236000689,-0.07706819220595988,0.08419226569705451,0.16126045790301438,-0.1612604579030144
Athletic Bilbao,0.18191296644250876,-0.13977554978188336,0.0210687083303127,0.16084425811219605,-0.16084425811219605
Villareal,0.026756162875672437,0.0,0.013378081437836219,0.013378081437836219,-0.013378081437836219
Real Sociedad,0.11099557002036468,-0.2093123242242253,-0.04915837710193031,0.160153947122295,-0.160153947122295
Betis,0.058190963640331744,-0.1809491727849048,-0.06137910457228653,0.11957006821261827,-0.11957006821261827
Alaves,0.10141215853416699,-0.24637500833461623,-0.07248142490022462,0.1738935834343916,-0.1738935834343916
Almeria,0.019853956346785995,-0.25460106147821915,-0.11737355256571658,0.13722750891250257,-0.13722750891250257
Leganes,0.05549879926376252,-0.3519868995489791,-0.1482440501426083,0.20374284940637083,-0.2037428494063708
Villarreal,-0.0070266909135627675,-0.31869759582619445,-0.16286214336987861,0.15583545245631586,-0.15583545245631583
Levante,0.012826222518120918,-0.3611859719865514,-0.17417987473421523,0.18700609725233613,-0.18700609725233616
Mallorca,-0.08687500474122815,-0.35373473035713265,-0.2203048675491804,0.13342986280795227,-0.13342986280795224
Osasuna,-0.19489723859480873,-0.37599973072979154,-0.2854484846623001,0.09055124606749138,-0.09055124606749143
Celta Vigo,-0.10898098898565393,-0.4786242285097771,-0.2938026087477155,0.18482161976206157,-0.18482161976206157
Granada,-0.2973922753569036,-0.5679154173470448,-0.4326538463519742,0.13526157099507058,-0.13526157099507058
Valladolid,-0.2924861709728478,-0.6697061470652437,-0.48109615901904573,0.18860998804619794,-0.18860998804619794
